name,team,player_img,number,batting_avg,num_runs,exit_avg,camden_games,why,farthest_run
Juan Soto,NYY,juansoto-removebg-preview,22,0.284,199,TK,3,TK why,
Heston Kjerstad,BAL,heston-removebg-preview,13,0.248,5,TK,3,TK why,
Gunnar Henderson,BAL,henderson-removebg-preview,2,0.268,69,TK,3,TK why,
Colton Cowser,BAL,colton-removebg-preview,17,,,TK,3,TK why,
Jackson Holliday,BAL,holliday-removebg-preview,7,,,TK,3,TK why,
Shohei Ohtani,LAD,ohtani-removebg-preview,17,,,TK,3,TK why,
Corey Seager,TEX,seager-removebg-preview,5,,,TK,3,TK why,
Rafael Devers,BOS,rafael-removebg-preview,11,,,TK,3,TK why,
